index,T/F
0,0
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,1
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,1
430,0
431,0
432,0
433,0
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,1
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,0
472,1
473,0
474,1
475,1
476,0
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,1
512,0
513,1
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,0
542,0
543,0
544,0
545,1
546,1
547,0
548,1
549,0
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,1
563,1
564,0
565,0
566,1
567,1
568,1
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,0
606,0
607,0
608,0
609,0
610,1
611,1
612,0
613,1
614,1
615,1
616,0
617,1
618,0
619,0
620,1
621,0
622,1
623,0
624,0
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,0
650,0
651,0
652,1
653,0
654,1
655,1
656,1
657,1
658,0
659,0
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,0
673,0
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,1
701,0
702,1
703,1
704,0
705,0
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,1
716,0
717,0
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,0
740,0
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,1
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,0
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,1
790,1
791,0
792,1
793,0
794,0
795,1
796,0
797,0
798,0
799,1
800,0
801,1
802,0
803,0
804,1
805,0
806,0
807,0
808,1
809,0
810,0
811,1
812,1
813,0
814,0
815,0
816,1
817,0
818,0
819,1
820,0
821,0
822,1
823,0
824,1
825,1
826,0
827,1
828,0
829,1
830,0
831,1
832,1
833,0
834,0
835,1
836,0
837,1
838,0
839,0
840,1
841,0
842,1
843,1
844,1
845,1
846,1
847,0
848,0
849,0
850,0
851,1
852,1
853,0
854,0
855,1
856,0
857,0
858,1
859,0
860,0
861,0
862,1
863,0
864,0
865,1
866,0
867,1
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,0
877,0
878,1
879,1
880,0
881,0
882,1
883,1
884,0
885,1
886,0
887,1
888,1
889,0
890,1
891,0
892,0
893,1
894,0
895,1
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,0
904,1
905,0
906,0
907,0
908,1
909,1
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,1
918,1
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,0
927,0
928,1
929,0
930,0
931,1
932,0
933,1
934,0
935,1
936,1
937,0
938,1
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,1
947,0
948,1
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,1
958,0
959,0
960,0
961,1
962,1
963,1
964,0
965,1
966,0
967,1
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,1
979,1
980,0
981,1
982,0
983,1
984,1
985,1
986,1
987,1
988,0
989,1
990,1
991,0
992,1
993,1
994,1
995,0
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,1
1004,1
1005,0
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,1
1060,1
