index,emotion
0,0
1,0
2,3
3,0
4,3
5,0
6,1
7,1
8,2
9,2
10,2
11,2
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,3
20,3
21,0
22,1
23,0
24,1
25,1
26,5
27,5
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,3
51,0
52,0
53,0
54,4
55,4
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,2
67,0
68,0
69,0
70,3
71,0
72,0
73,0
74,0
75,0
76,2
77,4
78,4
79,0
80,3
81,2
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,3
90,2
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,2
113,0
114,0
115,0
116,0
117,1
118,0
119,4
120,2
121,2
122,0
123,3
124,0
125,2
126,0
127,0
128,2
129,4
130,2
131,1
132,2
133,0
134,3
135,0
136,2
137,0
138,0
139,2
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,4
150,2
151,0
152,0
153,1
154,2
155,3
156,1
157,1
158,1
159,0
160,0
161,1
162,2
163,1
164,1
165,1
166,0
167,0
168,2
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,2
190,0
191,0
192,2
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,3
206,2
207,2
208,0
209,1
210,1
211,0
212,0
213,1
214,2
215,1
216,1
217,0
218,0
219,2
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,4
237,0
238,0
239,0
240,2
241,4
242,5
243,0
244,0
245,3
246,0
247,0
248,0
249,0
250,2
251,2
252,1
253,0
254,0
255,2
256,0
257,0
258,3
259,1
260,1
261,0
262,0
263,2
264,2
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,2
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,0
284,0
285,4
286,0
287,2
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,3
305,2
306,0
307,0
308,1
309,0
310,1
311,2
312,0
313,0
314,0
315,1
316,0
317,3
318,0
319,1
320,0
321,1
322,0
323,4
324,4
325,0
326,1
327,1
328,0
329,5
330,1
331,2
332,0
333,3
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,3
342,1
343,0
344,5
345,0
346,3
347,2
348,1
349,0
350,0
351,0
352,6
353,0
354,0
355,0
356,5
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,2
365,1
366,0
367,5
368,0
369,0
370,2
371,1
372,0
373,0
374,0
375,0
376,3
377,0
378,0
379,0
380,1
381,0
382,0
383,2
384,0
385,2
386,3
387,2
388,2
389,0
390,0
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,3
401,0
402,0
403,0
404,2
405,1
406,2
407,0
408,4
409,1
410,0
411,0
412,2
413,0
414,0
415,0
416,0
417,4
418,0
419,1
420,1
421,0
422,1
423,1
424,1
425,0
426,0
427,3
428,0
429,0
430,1
431,3
432,1
433,1
434,0
435,1
436,1
437,2
438,2
439,2
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,5
448,1
449,1
450,0
451,2
452,0
453,1
454,2
455,2
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,5
466,5
467,5
468,5
469,1
470,2
471,2
472,1
473,1
474,0
475,0
476,2
477,0
478,0
479,1
480,1
481,1
482,0
483,0
484,1
485,0
486,0
487,1
488,1
489,0
490,3
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,3
500,0
501,0
502,4
503,0
504,1
505,0
506,0
507,4
508,0
509,0
510,0
511,0
512,0
513,4
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,2
523,0
524,0
525,0
526,2
527,0
528,0
529,0
530,1
531,0
